Name,Latitude,Longitude,Elevation
Black Hills, South Dakota, USA,44,121,-104,036,2090
Samuel, Brazil,-8,949,-63,183,120
Scott Base, Antarctica,-77,849,166,757,50
Santo Domingo, Venezuela,8,884,-70,634,1590
Sondre Stromfjord, Greenland,66,996,-50,621,330
San Juan, Puerto Rico,18,109,-66,15,420
Sierra la Laguna Baja California Sur, Mexico,23,686,-109,944,825
South Karori, New Zealand,-41,309,174,704,120
Standing Stone, Pennsylvania,40,636,-77,888,270
Tarawa Island, Republic of Kiribati,1,355,172,923,20
Taipei, Taiwan,24,974,121,497,160
Tepich, Yucatan, Mexico,20,226,-88,276,10
Tiksi, Russia,71,634,128,867,40
Tristan da Cunha,-37,068,-12,315,58
Tornquist, Argentina,-38,057,-61,979,540
Tsumeb, Namibia,-19,202,17,584,1260
Tucson, Arizona,32,31,-110,785,910
Ulaanbaatar, Mongolia,47,865,107,053,1610
Wake Island,19,283,166,652,20
Wyandotte Cave, Indiana, USA,38,229,-86,294,210
Waverly, Tennessee, USA,36,13,-87,83,170
Kiritimati Island, Republic of Kiribati,2,045,-157,446,19
Yakutsk, Russia,62,031,129,68,96
Yuzhno Sakhalinsk, Russia,46,959,142,76,148
